         134227839 function calls (133581560 primitive calls) in 566.056 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1096    0.007    0.000    0.021    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:178(_has_infs)
        2    0.007    0.003    0.007    0.003 {built-in method sizeHint}
6691/5719    0.007    0.000    0.010    0.000 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\artist.py:241(stale)
     1156    0.006    0.000    0.022    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:5489(__setattr__)
       30    0.006    0.000    0.006    0.000 {built-in method io.open}
     2222    0.006    0.000    0.017    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:627(name)
     1096    0.006    0.000    0.163    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:968(_get_with)
     2192    0.006    0.000    0.006    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:35(fit_polynomial)
      139    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
     1096    0.006    0.000    0.162    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:3301(mean)
     2242    0.006    0.000    0.009    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
  752/717    0.006    0.000    0.031    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:2206(_signature_from_callable)
     1126    0.006    0.000    0.015    0.000 {method 'any' of 'numpy.generic' objects}
     1105    0.005    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\base.py:605(_simple_new)
     1106    0.005    0.000    0.012    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1230(is_float_dtype)
     1096    0.005    0.000    0.011    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\util\_validators.py:130(validate_kwargs)
     2195    0.005    0.000    0.023    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
     1096    0.005    0.000    0.154    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\generic.py:10368(mean)
     1100    0.005    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:261(make_block_same_class)
    18585    0.005    0.000    0.007    0.000 {built-in method builtins.getattr}
      522    0.005    0.000    0.020    0.000 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\artist.py:1038(update)
     2267    0.005    0.000    0.008    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:2477(__init__)
     1099    0.005    0.000    0.015    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
      812    0.005    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:2760(__init__)
     2203    0.005    0.000    0.039    0.000 <__array_function__ internals>:2(zeros_like)
  522/114    0.004    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\sre_compile.py:71(_compile)
     2438    0.004    0.000    0.009    0.000 {built-in method builtins.all}
     1099    0.004    0.000    0.015    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\compat\numpy\function.py:49(__call__)
     8585    0.004    0.000    0.027    0.000 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
      107    0.004    0.000    0.024    0.000 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\lines.py:276(__init__)
 1014/226    0.004    0.000    0.189    0.001 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
     1096    0.004    0.000    0.171    0.000 <__array_function__ internals>:2(mean)
     3177    0.004    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\enum.py:283(__call__)
       75    0.004    0.000    0.004    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     2349    0.004    0.000    0.033    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:606(getdoc)
     2203    0.004    0.000    0.008    0.000 <__array_function__ internals>:2(empty_like)
     2195    0.004    0.000    0.014    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
     3288    0.004    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:86(<genexpr>)
     3344    0.004    0.000    0.005    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
     1096    0.004    0.000    0.012    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\nanops.py:162(_bn_ok_dtype)
      234    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1116    0.003    0.000    0.007    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:160(is_object_dtype)
