wavelength	RSR_412	RSR_443	RSR_469	RSR_488	RSR_531	RSR_551	RSR_555	RSR_645	RSR_667	RSR_678	RSR_748	RSR_859	RSR_869	RSR_1240	RSR_1640	RSR_2130
536	0.00055235	0.00053521	0	0.00017635	0.4585	0.0022456	0	0	3.95E-06	4.58E-06	2.30E-06	0	4.28E-06	0	0	0
537	0.00056026	0.00054431	0	0.00018224	0.25628	0.0057969	0	0	3.88E-06	4.66E-06	2.30E-06	0	3.95E-06	0	0	0
538	0.00056816	0.0005534	0	0.00018813	0.10411	0.02361	0	0	3.82E-06	4.75E-06	2.30E-06	0	3.62E-06	0	0	0
539	0.00057607	0.0005625	0	0.00019403	0.036269	0.077403	0.01633	0	3.75E-06	4.83E-06	2.30E-06	0	3.29E-06	0	0	0
540	0.00058398	0.00057159	0	0.00019992	0.01435	0.17968	0.04011	0	3.69E-06	4.92E-06	2.30E-06	0	2.96E-06	0	0	0
541	0.00058479	0.00056519	0	0.0002086	0.0059637	0.33378	0.09007	0	3.64E-06	4.95E-06	2.25E-06	0	3.03E-06	0	0	0
542	0.00058559	0.00055878	0	0.00021728	0.0027574	0.53756	0.17839	0	3.59E-06	4.98E-06	2.19E-06	0	3.09E-06	0	0	0
543	0.00058639	0.00055238	0	0.00022597	0.001458	0.75837	0.30928	0	3.54E-06	5.01E-06	2.14E-06	0	3.16E-06	0	0	0
544	0.0005872	0.00054598	0	0.00023465	0.00063864	0.91972	0.47299	0	3.50E-06	5.04E-06	2.09E-06	0	3.22E-06	0	0	0
545	0.00058801	0.00053958	0	0.00024333	0.00035286	0.98082	0.65195	0	3.45E-06	5.08E-06	2.03E-06	0	3.28E-06	0	0	0
546	0.00058881	0.00053317	0	0.00025201	0.00050325	0.99744	0.80749	0	3.40E-06	5.11E-06	1.98E-06	0	3.35E-06	0	0	0
547	0.00058962	0.00052677	0	0.00026069	0.00067166	0.99981	0.91824	0	3.35E-06	5.14E-06	1.92E-06	0	3.41E-06	0	0	0
548	0.00059042	0.00052037	0	0.00026938	0.00084008	0.9894	0.97327	0	3.30E-06	5.17E-06	1.87E-06	0	3.48E-06	0	0	0
549	0.00059122	0.00051396	0	0.00027806	0.0010085	0.95278	0.99081	0	3.26E-06	5.21E-06	1.81E-06	0	3.54E-06	0	0	0
550	0.00059203	0.00050756	0	0.00028674	0.0011769	0.86391	0.99606	0	3.21E-06	5.24E-06	1.76E-06	0	3.61E-06	0	0	0
551	0.0005862	0.00047016	0	0.00029659	0.0011418	0.72067	0.99969	0	3.11E-06	5.15E-06	1.69E-06	0	3.63E-06	0	0	0
552	0.00058037	0.00043276	0	0.00030643	0.0011066	0.53084	0.99433	0	3.01E-06	5.07E-06	1.63E-06	0	3.66E-06	0	0	0
553	0.00057454	0.00039535	0	0.00031628	0.0010715	0.31896	0.98695	0	2.91E-06	4.98E-06	1.56E-06	0	3.69E-06	0	0	0
554	0.00056871	0.00035795	0	0.00032612	0.0010364	0.13797	0.98603	0	2.81E-06	4.89E-06	1.49E-06	0	3.72E-06	0	0	0
555	0.00056288	0.00032055	0	0.00033597	0.0010012	0.042145	0.98572	0	2.70E-06	4.81E-06	1.42E-06	0	3.75E-06	0	0	0
556	0.00055704	0.00028315	0	0.00034582	0.0009661	0.012221	0.98405	0	2.60E-06	4.72E-06	1.36E-06	0	3.78E-06	0	0	0
557	0.00055121	0.00024575	0	0.00035566	0.00093097	0.0042386	0.98085	0	2.50E-06	4.64E-06	1.29E-06	0	3.81E-06	0	0	0
